日期,时段,年,月,日,星期,是否周末,季度,小时,是否高峰时段,是否夜间,系统负荷-日前,非市场化机组出力-日前,平均出清价格-日前（元/MWh）,平均出清价格-实时（元/MWh）,datetime,新能源出力-日前
2024-05-06,00:00-01:00,2024,5,6,1,0,2,0,0,1,23982,21201.609,398.611542,394.474182,2024-05-06 00:00:00,3231.942
2024-05-06,01:00-02:00,2024,5,6,1,0,2,1,0,1,23260,20848.809,395.199097,393.697174,2024-05-06 01:00:00,3355.554
2024-05-06,02:00-03:00,2024,5,6,1,0,2,2,0,1,22832,20466.569,386.097595,394.808929,2024-05-06 02:00:00,3258.882
2024-05-06,03:00-04:00,2024,5,6,1,0,2,3,0,1,22600,20130.219,386.633698,394.067474,2024-05-06 03:00:00,3033.466
2024-05-06,04:00-05:00,2024,5,6,1,0,2,4,0,1,23180,20579.159,396.921448,391.817169,2024-05-06 04:00:00,2750.662
2024-05-06,05:00-06:00,2024,5,6,1,0,2,5,0,1,24730,21361.748,409.065643,397.031677,2024-05-06 05:00:00,2770.762
2024-05-06,06:00-07:00,2024,5,6,1,0,2,6,0,1,26548,24127.906,402.346558,397.892609,2024-05-06 06:00:00,5018.743
2024-05-06,07:00-08:00,2024,5,6,1,0,2,7,0,0,27938,23946.951,384.603394,388.458466,2024-05-06 07:00:00,8894.932
2024-05-06,08:00-09:00,2024,5,6,1,0,2,8,1,0,29061,23204.982,377.029724,375.225616,2024-05-06 08:00:00,13104.155
2024-05-06,09:00-10:00,2024,5,6,1,0,2,9,1,0,29120,20818.968,64.124184,359.403839,2024-05-06 09:00:00,16420.692
2024-05-06,10:00-11:00,2024,5,6,1,0,2,10,1,0,29533,20083.168,61.887939,179.998184,2024-05-06 10:00:00,18423.203
2024-05-06,11:00-12:00,2024,5,6,1,0,2,11,1,0,27537,19975.85,40.330059,0.0,2024-05-06 11:00:00,19049.484
2024-05-06,12:00-13:00,2024,5,6,1,0,2,12,1,0,27163,19336.837,40.600414,0.0,2024-05-06 12:00:00,18678.798
2024-05-06,13:00-14:00,2024,5,6,1,0,2,13,1,0,27377,19054.195,63.799698,3.744239,2024-05-06 13:00:00,16837.425
2024-05-06,14:00-15:00,2024,5,6,1,0,2,14,1,0,28179,19513.839,369.833984,41.920948,2024-05-06 14:00:00,13740.416
2024-05-06,15:00-16:00,2024,5,6,1,0,2,15,1,0,29254,21317.868,396.672485,362.827454,2024-05-06 15:00:00,10032.247
2024-05-06,16:00-17:00,2024,5,6,1,0,2,16,1,0,30113,25241.542,407.114105,391.85788,2024-05-06 16:00:00,6056.581
2024-05-06,17:00-18:00,2024,5,6,1,0,2,17,1,0,29996,27618.388,416.174683,394.566681,2024-05-06 17:00:00,2883.209
2024-05-06,18:00-19:00,2024,5,6,1,0,2,18,1,0,30264,27701.12,419.535339,404.472626,2024-05-06 18:00:00,1663.511
2024-05-06,19:00-20:00,2024,5,6,1,0,2,19,1,0,29865,27411.47,417.711761,415.533661,2024-05-06 19:00:00,1826.006
2024-05-06,20:00-21:00,2024,5,6,1,0,2,20,1,0,28478,26535.4,416.993561,479.27829,2024-05-06 20:00:00,1860.967
2024-05-06,21:00-22:00,2024,5,6,1,0,2,21,0,0,26869,25255.29,417.899628,473.622986,2024-05-06 21:00:00,1750.426
2024-05-06,22:00-23:00,2024,5,6,1,0,2,22,0,1,26459,24259.435,413.43399,416.17215,2024-05-06 22:00:00,1565.479
2024-05-06,23:00-24:00,2024,5,6,1,0,2,23,0,1,25756,24013.1,407.895538,398.007874,2024-05-06 23:00:00,1287.759
2024-05-07,00:00-01:00,2024,5,7,2,0,2,0,0,1,25047,22519.895,408.582031,416.253204,2024-05-07 00:00:00,722.325
2024-05-07,01:00-02:00,2024,5,7,2,0,2,1,0,1,24171,21730.468,402.777557,402.942139,2024-05-07 01:00:00,598.874
2024-05-07,02:00-03:00,2024,5,7,2,0,2,2,0,1,23734,21554.446,402.296356,397.280304,2024-05-07 02:00:00,499.004
2024-05-07,03:00-04:00,2024,5,7,2,0,2,3,0,1,23500,21469.604,402.241486,397.188965,2024-05-07 03:00:00,468.805
2024-05-07,04:00-05:00,2024,5,7,2,0,2,4,0,1,24046,21886.391,401.97937,402.809235,2024-05-07 04:00:00,498.604
2024-05-07,05:00-06:00,2024,5,7,2,0,2,5,0,1,26006,23611.83,421.187225,432.695557,2024-05-07 05:00:00,832.951
2024-05-07,06:00-07:00,2024,5,7,2,0,2,6,0,1,27608,26275.425,401.102264,412.403503,2024-05-07 06:00:00,3261.448
2024-05-07,07:00-08:00,2024,5,7,2,0,2,7,0,0,28360,25557.876,377.115479,396.628754,2024-05-07 07:00:00,7313.491
2024-05-07,08:00-09:00,2024,5,7,2,0,2,8,1,0,29643,25687.579,376.940338,388.730225,2024-05-07 08:00:00,11756.982
2024-05-07,09:00-10:00,2024,5,7,2,0,2,9,1,0,30243,23094.312,44.51104,373.02594,2024-05-07 09:00:00,15341.046
2024-05-07,10:00-11:00,2024,5,7,2,0,2,10,1,0,30738,21155.435,42.157162,372.576477,2024-05-07 10:00:00,17594.225
2024-05-07,11:00-12:00,2024,5,7,2,0,2,11,1,0,28704,21068.226,40.430038,15.108058,2024-05-07 11:00:00,18480.627
2024-05-07,12:00-13:00,2024,5,7,2,0,2,12,1,0,28329,20695.344,40.419968,20.842295,2024-05-07 12:00:00,18281.441
2024-05-07,13:00-14:00,2024,5,7,2,0,2,13,1,0,28923,20747.754,40.628147,353.929993,2024-05-07 13:00:00,16884.533
2024-05-07,14:00-15:00,2024,5,7,2,0,2,14,1,0,29455,21303.723,44.520439,356.823273,2024-05-07 14:00:00,14127.213
2024-05-07,15:00-16:00,2024,5,7,2,0,2,15,1,0,30722,22795.579,387.207764,382.326202,2024-05-07 15:00:00,10411.843
2024-05-07,16:00-17:00,2024,5,7,2,0,2,16,1,0,31532,27055.025,401.281067,395.856934,2024-05-07 16:00:00,6323.686
2024-05-07,17:00-18:00,2024,5,7,2,0,2,17,1,0,30975,29605.68,402.24173,393.420349,2024-05-07 17:00:00,2939.912
2024-05-07,18:00-19:00,2024,5,7,2,0,2,18,1,0,31161,29518.664,407.302673,392.760468,2024-05-07 18:00:00,1606.689
2024-05-07,19:00-20:00,2024,5,7,2,0,2,19,1,0,30879,29233.324,400.191376,396.112457,2024-05-07 19:00:00,1902.432
2024-05-07,20:00-21:00,2024,5,7,2,0,2,20,1,0,29692,28435.688,396.767944,399.776184,2024-05-07 20:00:00,2122.384
2024-05-07,21:00-22:00,2024,5,7,2,0,2,21,0,0,28254,27196.524,393.206421,402.735992,2024-05-07 21:00:00,2271.797
2024-05-07,22:00-23:00,2024,5,7,2,0,2,22,0,1,27845,25657.967,397.74881,389.000031,2024-05-07 22:00:00,2324.162
2024-05-07,23:00-24:00,2024,5,7,2,0,2,23,0,1,27253,25237.861,396.527283,384.644867,2024-05-07 23:00:00,2283.797
2024-05-08,00:00-01:00,2024,5,8,3,0,2,0,0,1,25577,24783.839,,,2024-05-08 00:00:00,1342.4
2024-05-08,01:00-02:00,2024,5,8,3,0,2,1,0,1,24671,24560.628,,,2024-05-08 01:00:00,1226.445
2024-05-08,02:00-03:00,2024,5,8,3,0,2,2,0,1,24085,24248.228,,,2024-05-08 02:00:00,1160.561
2024-05-08,03:00-04:00,2024,5,8,3,0,2,3,0,1,23800,24140.283,,,2024-05-08 03:00:00,1181.367
2024-05-08,04:00-05:00,2024,5,8,3,0,2,4,0,1,24147,24057.328,,,2024-05-08 04:00:00,1282.381
2024-05-08,05:00-06:00,2024,5,8,3,0,2,5,0,1,25905,24673.398,,,2024-05-08 05:00:00,1802.595
2024-05-08,06:00-07:00,2024,5,8,3,0,2,6,0,1,27243,27621.707,,,2024-05-08 06:00:00,4863.449
2024-05-08,07:00-08:00,2024,5,8,3,0,2,7,0,0,28373,28627.808,,,2024-05-08 07:00:00,9850.841
2024-05-08,08:00-09:00,2024,5,8,3,0,2,8,1,0,29749,28110.518,,,2024-05-08 08:00:00,15030.936
2024-05-08,09:00-10:00,2024,5,8,3,0,2,9,1,0,30457,26241.568,,,2024-05-08 09:00:00,18843.322
2024-05-08,10:00-11:00,2024,5,8,3,0,2,10,1,0,30984,24500.45,,,2024-05-08 10:00:00,20925.126
2024-05-08,11:00-12:00,2024,5,8,3,0,2,11,1,0,29121,24542.359,,,2024-05-08 11:00:00,21604.763
2024-05-08,12:00-13:00,2024,5,8,3,0,2,12,1,0,28864,23869.334,,,2024-05-08 12:00:00,21432.779
2024-05-08,13:00-14:00,2024,5,8,3,0,2,13,1,0,29246,23885.079,,,2024-05-08 13:00:00,20321.213
