,时间戳,日期,时段,年,月,日,星期,是否周末,季度,小时,是否高峰时段,是否夜间,系统负荷-实时,风电出力-实时,光伏出力-实时,水电出力-实时,联络线计划-实时,非市场化机组出力-实时,平均出清价格-实时（元/MWh）
0,2024-05-28_00:00-01:00,2024-05-28,00:00-01:00,2024,5,28,2,0,2,0,0,1,29996.0,1757.543457,0.0,18576.986,-9883.0,21060.056,362.968811
1,2024-05-28_01:00-02:00,2024-05-28,01:00-02:00,2024,5,28,2,0,2,1,0,1,28760.0,1774.41687,0.0,17214.052,-9882.0,19634.642,350.777802
2,2024-05-28_02:00-03:00,2024-05-28,02:00-03:00,2024,5,28,2,0,2,2,0,1,27910.0,2000.493896,0.0,16443.907,-9882.0,18875.817,350.483795
3,2024-05-28_03:00-04:00,2024-05-28,03:00-04:00,2024,5,28,2,0,2,3,0,1,27332.0,2062.069824,0.0,16139.639,-9842.0,18556.269,350.237457
4,2024-05-28_04:00-05:00,2024-05-28,04:00-05:00,2024,5,28,2,0,2,4,0,1,27496.0,1814.629517,0.64,16101.002,-9842.0,18565.032,365.245056
5,2024-05-28_05:00-06:00,2024-05-28,05:00-06:00,2024,5,28,2,0,2,5,0,1,28807.0,1906.886841,268.263824,16953.369,-9642.0,19513.871,361.123505
6,2024-05-28_06:00-07:00,2024-05-28,06:00-07:00,2024,5,28,2,0,2,6,0,1,29789.0,1861.158691,2074.39624,17286.998,-10639.0,20717.888,344.90506
7,2024-05-28_07:00-08:00,2024-05-28,07:00-08:00,2024,5,28,2,0,2,7,0,0,31549.0,1692.660889,5141.317383,17209.998,-11446.0,21995.282,85.257164
8,2024-05-28_08:00-09:00,2024-05-28,08:00-09:00,2024,5,28,2,0,2,8,1,0,33795.0,1429.307861,8357.328125,17185.256,-11351.0,23416.891,24.358984
9,2024-05-28_09:00-10:00,2024-05-28,09:00-10:00,2024,5,28,2,0,2,9,1,0,34813.0,1140.35022,10169.0459,14855.002,-9488.0,22174.537,4.445681
10,2024-05-28_10:00-11:00,2024-05-28,10:00-11:00,2024,5,28,2,0,2,10,1,0,35644.0,1043.323242,11208.04199,11224.998,-7824.0,18994.239,4.364784
11,2024-05-28_11:00-12:00,2024-05-28,11:00-12:00,2024,5,28,2,0,2,11,1,0,34157.0,1062.860474,9647.77832,11179.998,-7323.0,18765.864,41.661755
