时间戳,日期,时段,年,月,日,星期,是否周末,季度,小时,是否高峰时段,是否夜间,系统负荷-日前,系统负荷-实时,风电出力-日前,风电出力-实时,光伏出力-日前,光伏出力-实时,水电出力-日前,水电出力-实时,联络线计划-日前,联络线计划-实时,非市场化机组出力-日前,非市场化机组出力-实时,平均出清价格-日前（元/MWh）,平均出清价格-实时（元/MWh）
2024-04-16_00:00-01:00,2024-04-16,00:00-01:00,2024,4,16,2,0,2,0,0,1,24904,,1776.33,,0.0,,13656.279,,-5754.0,-4940.0,19354.389,,445.329285,
2024-04-16_01:00-02:00,2024-04-16,01:00-02:00,2024,4,16,2,0,2,1,0,1,24057,,1957.914,,0.0,,13644.568,,-5757.0,-4942.0,19348.708,,441.130035,
2024-04-16_02:00-03:00,2024-04-16,02:00-03:00,2024,4,16,2,0,2,2,0,1,23528,,2196.644,,0.0,,13635.176,,-5757.0,-4942.0,19329.226,,432.3013,
2024-04-16_03:00-04:00,2024-04-16,03:00-04:00,2024,4,16,2,0,2,3,0,1,23285,,2564.494,,0.0,,13641.129,,-5757.0,-4942.0,19320.739,,423.890411,
2024-04-16_04:00-05:00,2024-04-16,04:00-05:00,2024,4,16,2,0,2,4,0,1,23548,,2955.078,,0.1,,13655.488,,-5757.0,-4942.0,19392.658,,423.844208,
2024-04-16_05:00-06:00,2024-04-16,05:00-06:00,2024,4,16,2,0,2,5,0,1,25102,,3221.037,,31.383,,13967.489,,-5727.0,-4911.0,19957.612,,441.244049,
2024-04-16_06:00-07:00,2024-04-16,06:00-07:00,2024,4,16,2,0,2,6,0,1,26933,,3365.745,,764.662,,15689.302,,-6968.0,-6969.0,22238.381,,454.162933,
2024-04-16_07:00-08:00,2024-04-16,07:00-08:00,2024,4,16,2,0,2,7,0,0,28168,,3333.612,,2194.709,,15749.686,,-6824.0,-6824.0,22804.993,,443.653229,
2024-04-16_08:00-09:00,2024-04-16,08:00-09:00,2024,4,16,2,0,2,8,1,0,29138,,3233.061,,3736.412,,12796.861,,-6534.0,-5305.0,19466.688,,445.02182,
2024-04-16_09:00-10:00,2024-04-16,09:00-10:00,2024,4,16,2,0,2,9,1,0,29358,,3211.246,,5037.948,,10138.615,,-4755.0,-4740.0,16526.273,,458.819275,
2024-04-16_10:00-11:00,2024-04-16,10:00-11:00,2024,4,16,2,0,2,10,1,0,29838,,3269.251,,6067.735,,9123.476,,-4755.0,-3780.0,15936.823,,455.06488,
2024-04-16_11:00-12:00,2024-04-16,11:00-12:00,2024,4,16,2,0,2,11,1,0,27898,,3256.803,,6588.099,,9077.706,,-4724.0,-3668.0,16113.389,,424.648376,
2024-04-16_12:00-13:00,2024-04-16,12:00-13:00,2024,4,16,2,0,2,12,1,0,27685,,3189.935,,6493.937,,9074.842,,-4729.0,-3659.0,16023.956,,420.311218,
2024-04-16_13:00-14:00,2024-04-16,13:00-14:00,2024,4,16,2,0,2,13,1,0,28130,,3108.022,,5639.275,,9126.671,,-4732.0,-3725.0,15694.131,,435.919006,
2024-04-16_14:00-15:00,2024-04-16,14:00-15:00,2024,4,16,2,0,2,14,1,0,28723,,3071.995,,4381.641,,9149.391,,-4731.0,-3768.0,15260.874,,457.473785,
2024-04-16_15:00-16:00,2024-04-16,15:00-16:00,2024,4,16,2,0,2,15,1,0,30072,,3122.828,,3126.554,,10100.909,,-4746.0,-4210.0,16410.652,,464.650909,
2024-04-16_16:00-17:00,2024-04-16,16:00-17:00,2024,4,16,2,0,2,16,0,0,30578,,3323.556,,1692.052,,15029.016,,-6415.0,-6393.0,22509.033,,469.459229,
2024-04-16_17:00-18:00,2024-04-16,17:00-18:00,2024,4,16,2,0,2,17,0,0,30079,,3610.667,,482.496,,17386.692,,-7292.0,-7293.0,24595.524,,458.311859,
2024-04-16_18:00-19:00,2024-04-16,18:00-19:00,2024,4,16,2,0,2,18,0,0,30240,,3859.554,,2.26,,17319.294,,-6927.0,-6938.0,24407.004,,462.286621,
2024-04-16_19:00-20:00,2024-04-16,19:00-20:00,2024,4,16,2,0,2,19,0,0,29475,,4076.011,,0.0,,17106.418,,-6831.0,-6843.0,24366.888,,448.490845,
2024-04-16_20:00-21:00,2024-04-16,20:00-21:00,2024,4,16,2,0,2,20,0,0,28335,,4133.969,,0.0,,16984.185,,-6985.0,-6994.0,24377.345,,440.334503,
2024-04-16_21:00-22:00,2024-04-16,21:00-22:00,2024,4,16,2,0,2,21,0,0,26745,,4104.575,,0.0,,15906.474,,-7285.0,-7297.0,23135.394,,431.943359,
2024-04-16_22:00-23:00,2024-04-16,22:00-23:00,2024,4,16,2,0,2,22,0,1,26746,,3997.716,,0.0,,13888.484,,-6411.0,-6394.0,20916.274,,460.140625,
2024-04-16_23:00-24:00,2024-04-16,23:00-24:00,2024,4,16,2,0,2,23,0,1,26248,,3828.218,,0.0,,13884.684,,-6450.0,-6423.0,20485.894,,453.664825,
2024-04-17_00:00-01:00,2024-04-17,00:00-01:00,2024,4,17,3,0,2,0,0,1,25133,,3704.366,,0.0,,14418.93,,-6060.0,-5442.0,21541.39,,433.126038,
2024-04-17_01:00-02:00,2024-04-17,01:00-02:00,2024,4,17,3,0,2,1,0,1,24219,,3719.6,,0.0,,13878.24,,-6063.0,-5447.0,20968.94,,439.620636,
2024-04-17_02:00-03:00,2024-04-17,02:00-03:00,2024,4,17,3,0,2,2,0,1,23761,,3858.303,,0.0,,13616.727,,-6063.0,-5395.0,20683.577,,431.411224,
2024-04-17_03:00-04:00,2024-04-17,03:00-04:00,2024,4,17,3,0,2,3,0,1,23300,,4064.784,,0.0,,13419.001,,-6063.0,-5446.0,20406.821,,423.538818,
2024-04-17_04:00-05:00,2024-04-17,04:00-05:00,2024,4,17,3,0,2,4,0,1,23888,,4191.644,,0.07,,13483.001,,-6063.0,-5394.0,20561.301,,430.897736,
2024-04-17_05:00-06:00,2024-04-17,05:00-06:00,2024,4,17,3,0,2,5,0,1,25511,,4275.337,,37.8,,14367.001,,-6033.0,-5415.0,21512.511,,430.142395,
2024-04-17_06:00-07:00,2024-04-17,06:00-07:00,2024,4,17,3,0,2,6,0,1,27461,,4244.961,,784.876,,16450.6,,-7291.0,-7286.0,23861.355,,431.20578,
2024-04-17_07:00-08:00,2024-04-17,07:00-08:00,2024,4,17,3,0,2,7,0,0,28486,,4127.934,,2167.68,,16340.0,,-7146.0,-7154.0,24126.162,,430.392853,
2024-04-17_08:00-09:00,2024-04-17,08:00-09:00,2024,4,17,3,0,2,8,1,0,29454,,3903.551,,3737.178,,15345.9,,-6749.0,-6757.0,23613.974,,421.346771,
2024-04-17_09:00-10:00,2024-04-17,09:00-10:00,2024,4,17,3,0,2,9,1,0,29516,,3613.884,,5184.481,,11273.446,,-4919.0,-4923.0,19977.366,,430.009064,
2024-04-17_10:00-11:00,2024-04-17,10:00-11:00,2024,4,17,3,0,2,10,1,0,29678,,3389.132,,6551.67,,11026.155,,-4914.0,-3982.0,20056.661,,440.557953,
2024-04-17_11:00-12:00,2024-04-17,11:00-12:00,2024,4,17,3,0,2,11,1,0,28107,,3258.538,,7465.391,,9855.498,,-4882.0,-4285.0,18843.903,,411.930023,
2024-04-17_12:00-13:00,2024-04-17,12:00-13:00,2024,4,17,3,0,2,12,1,0,27696,,3124.104,,7616.46,,9764.998,,-4887.0,-4292.0,18658.621,,409.44104,
2024-04-17_13:00-14:00,2024-04-17,13:00-14:00,2024,4,17,3,0,2,13,1,0,27908,,2978.25,,7355.339,,9998.998,,-4890.0,-4536.0,18999.34,,409.469147,
2024-04-17_14:00-15:00,2024-04-17,14:00-15:00,2024,4,17,3,0,2,14,1,0,28359,,2842.692,,6515.698,,11088.035,,-4889.0,-4560.0,19903.701,,419.515106,
2024-04-17_15:00-16:00,2024-04-17,15:00-16:00,2024,4,17,3,0,2,15,1,0,29738,,2742.267,,4963.37,,11851.998,,-4904.0,-4115.0,20412.662,,423.87619,
2024-04-17_16:00-17:00,2024-04-17,16:00-17:00,2024,4,17,3,0,2,16,0,0,30286,,2676.575,,2932.525,,16381.901,,-6691.0,-6712.0,24398.016,,440.876312,
2024-04-17_17:00-18:00,2024-04-17,17:00-18:00,2024,4,17,3,0,2,17,0,0,30044,,2622.333,,933.417,,18654.903,,-7629.0,-7635.0,26359.379,,449.309509,
2024-04-17_18:00-19:00,2024-04-17,18:00-19:00,2024,4,17,3,0,2,18,0,0,30354,,2648.919,,4.48,,18662.402,,-7386.0,-7394.0,26162.782,,457.567139,
2024-04-17_19:00-20:00,2024-04-17,19:00-20:00,2024,4,17,3,0,2,19,0,0,30085,,2718.052,,0.0,,18647.228,,-7288.0,-7296.0,26239.688,,449.040131,
2024-04-17_20:00-21:00,2024-04-17,20:00-21:00,2024,4,17,3,0,2,20,0,0,28476,,2661.464,,0.0,,17646.877,,-7441.0,-7449.0,25216.247,,440.999878,
2024-04-17_21:00-22:00,2024-04-17,21:00-22:00,2024,4,17,3,0,2,21,0,0,27042,,2554.668,,0.0,,17136.902,,-7648.0,-6861.0,24577.122,,447.346558,
2024-04-17_22:00-23:00,2024-04-17,22:00-23:00,2024,4,17,3,0,2,22,0,1,26947,,2414.112,,0.0,,15422.0,,-6402.0,-5599.0,22601.58,,450.811371,
2024-04-17_23:00-24:00,2024-04-17,23:00-24:00,2024,4,17,3,0,2,23,0,1,26515,,2293.053,,0.0,,15375.999,,-6431.0,-5625.0,22393.839,,451.177826,
2024-04-18_00:00-01:00,2024-04-18,00:00-01:00,2024,4,18,4,0,2,0,0,1,24935,,1592.922,,0.0,,14109.007,,-6065.0,-3990.0,20488.367,,441.336609,
2024-04-18_01:00-02:00,2024-04-18,01:00-02:00,2024,4,18,4,0,2,1,0,1,24108,,1535.324,,0.0,,13418.607,,-6068.0,-3992.0,19780.507,,434.227448,
2024-04-18_02:00-03:00,2024-04-18,02:00-03:00,2024,4,18,4,0,2,2,0,1,23426,,1417.51,,0.0,,12868.296,,-6068.0,-3990.0,19204.676,,434.339905,
2024-04-18_03:00-04:00,2024-04-18,03:00-04:00,2024,4,18,4,0,2,3,0,1,23278,,1307.36,,0.0,,12744.529,,-6068.0,-4115.0,19057.699,,434.28714,
2024-04-18_04:00-05:00,2024-04-18,04:00-05:00,2024,4,18,4,0,2,4,0,1,23644,,1247.148,,0.0,,13286.639,,-6068.0,-4799.0,19564.049,,444.198029,
2024-04-18_05:00-06:00,2024-04-18,05:00-06:00,2024,4,18,4,0,2,5,0,1,25010,,1219.078,,88.927,,14444.989,,-6038.0,-5587.0,20714.666,,467.151794,
2024-04-18_06:00-07:00,2024-04-18,06:00-07:00,2024,4,18,4,0,2,6,0,1,27086,,1202.465,,1963.663,,15935.0,,-7301.0,-7304.0,23828.206,,458.05352800000003,
2024-04-18_07:00-08:00,2024-04-18,07:00-08:00,2024,4,18,4,0,2,7,0,0,28491,,1129.696,,5822.416,,13482.001,,-7156.0,-7159.0,22594.979,,435.312317,
2024-04-18_08:00-09:00,2024-04-18,08:00-09:00,2024,4,18,4,0,2,8,1,0,29281,,1022.109,,10244.228,,12358.501,,-6759.0,-6757.0,21839.499,,411.916626,
2024-04-18_09:00-10:00,2024-04-18,09:00-10:00,2024,4,18,4,0,2,9,1,0,29469,,928.6,,13689.69,,9444.471,,-4925.0,-4885.0,19055.95,,397.356506,
2024-04-18_10:00-11:00,2024-04-18,10:00-11:00,2024,4,18,4,0,2,10,1,0,29756,,879.93,,15618.257,,8472.579,,-4919.0,-4873.0,18697.426,,388.967255,
2024-04-18_11:00-12:00,2024-04-18,11:00-12:00,2024,4,18,4,0,2,11,1,0,27973,,872.405,,16195.5,,8244.987,,-4887.0,-4930.0,17759.617,,134.146301,
2024-04-18_12:00-13:00,2024-04-18,12:00-13:00,2024,4,18,4,0,2,12,1,0,27658,,906.963,,15858.385,,8246.172,,-4893.0,-4906.0,17580.838,,133.515747,
2024-04-18_13:00-14:00,2024-04-18,13:00-14:00,2024,4,18,4,0,2,13,1,0,28014,,984.679,,14456.011,,8523.844,,-4896.0,-4866.0,18244.593,,169.153198,
2024-04-18_14:00-15:00,2024-04-18,14:00-15:00,2024,4,18,4,0,2,14,1,0,28563,,1095.092,,11831.891,,8688.498,,-4895.0,-4825.0,17487.584,,428.074585,
2024-04-18_15:00-16:00,2024-04-18,15:00-16:00,2024,4,18,4,0,2,15,1,0,29500,,1251.542,,8270.842,,11035.75,,-4909.0,-4885.0,19364.453,,448.059174,
2024-04-18_16:00-17:00,2024-04-18,16:00-17:00,2024,4,18,4,0,2,16,0,0,30248,,1468.793,,4267.869,,15929.297,,-6699.0,-6678.0,25696.021,,452.426636,
2024-04-18_17:00-18:00,2024-04-18,17:00-18:00,2024,4,18,4,0,2,17,0,0,29922,,1791.72,,1156.873,,18838.503,,-7629.0,-7602.0,27788.129,,463.149078,
2024-04-18_18:00-19:00,2024-04-18,18:00-19:00,2024,4,18,4,0,2,18,0,0,30342,,2144.963,,7.17,,19272.495,,-7404.0,-7403.0,28019.815,,471.92865,
2024-04-18_19:00-20:00,2024-04-18,19:00-20:00,2024,4,18,4,0,2,19,0,0,29914,,2417.113,,0.0,,18711.495,,-7306.0,-7313.0,27577.925,,462.013153,
2024-04-18_20:00-21:00,2024-04-18,20:00-21:00,2024,4,18,4,0,2,20,0,0,28784,,2595.369,,0.0,,18088.495,,-7459.0,-6967.0,26504.575,,452.571564,
2024-04-18_21:00-22:00,2024-04-18,21:00-22:00,2024,4,18,4,0,2,21,0,0,27281,,2726.834,,0.0,,16985.444,,-7666.0,-6873.0,25323.344,,451.640991,
2024-04-18_22:00-23:00,2024-04-18,22:00-23:00,2024,4,18,4,0,2,22,0,1,27146,,2780.044,,0.0,,15766.255,,-6407.0,-6410.0,24059.705,,463.444244,
2024-04-18_23:00-24:00,2024-04-18,23:00-24:00,2024,4,18,4,0,2,23,0,1,26470,,2768.869,,0.0,,15176.573,,-6436.0,-5640.0,22858.203,,456.59082,
2024-04-19_00:00-01:00,2024-04-19,00:00-01:00,2024,4,19,5,0,2,0,0,1,24947,,2876.542,,0.0,,14154.505,,-6068.0,-4826.0,20693.725,,443.757416,
2024-04-19_01:00-02:00,2024-04-19,01:00-02:00,2024,4,19,5,0,2,1,0,1,24132,,2803.573,,0.0,,13674.225,,-6071.0,-4823.0,20133.815,,436.515991,
2024-04-19_02:00-03:00,2024-04-19,02:00-03:00,2024,4,19,5,0,2,2,0,1,23483,,2693.341,,0.0,,13269.505,,-6071.0,-5018.0,19629.185,,434.667053,
2024-04-19_03:00-04:00,2024-04-19,03:00-04:00,2024,4,19,5,0,2,3,0,1,23265,,2571.97,,0.0,,13064.505,,-6071.0,-5020.0,19382.025,,435.152069,
2024-04-19_04:00-05:00,2024-04-19,04:00-05:00,2024,4,19,5,0,2,4,0,1,23620,,2460.65,,0.08,,13263.505,,-6071.0,-5020.0,19678.285,,436.081757,
2024-04-19_05:00-06:00,2024-04-19,05:00-06:00,2024,4,19,5,0,2,5,0,1,25007,,2342.095,,43.458,,14300.905,,-6041.0,-4993.0,20750.593,,451.675751,
2024-04-19_06:00-07:00,2024-04-19,06:00-07:00,2024,4,19,5,0,2,6,0,1,26836,,2229.18,,693.941,,16740.898,,-7304.0,-6262.0,23418.145,,451.306335,
2024-04-19_07:00-08:00,2024-04-19,07:00-08:00,2024,4,19,5,0,2,7,0,0,28138,,2094.325,,1689.004,,16745.898,,-7159.0,-7132.0,23878.519,,460.768066,
2024-04-19_08:00-09:00,2024-04-19,08:00-09:00,2024,4,19,5,0,2,8,1,0,28955,,1950.573,,2679.066,,16315.898,,-6762.0,-6717.0,23631.403,,460.000031,
2024-04-19_09:00-10:00,2024-04-19,09:00-10:00,2024,4,19,5,0,2,9,1,0,29238,,1818.704,,3383.005,,12947.497,,-4927.0,-4835.0,20645.191,,477.875854,
2024-04-19_10:00-11:00,2024-04-19,10:00-11:00,2024,4,19,5,0,2,10,1,0,29589,,1782.28,,3790.224,,10917.498,,-4922.0,-4841.0,18751.576,,506.698456,
2024-04-19_11:00-12:00,2024-04-19,11:00-12:00,2024,4,19,5,0,2,11,1,0,27795,,1784.45,,4007.223,,10467.498,,-4890.0,-3829.0,18371.814,,467.539703,
2024-04-19_12:00-13:00,2024-04-19,12:00-13:00,2024,4,19,5,0,2,12,1,0,27631,,1910.661,,4095.86,,10377.684,,-4896.0,-3833.0,18251.826,,458.787201,
2024-04-19_13:00-14:00,2024-04-19,13:00-14:00,2024,4,19,5,0,2,13,1,0,27957,,2105.828,,4081.626,,10452.498,,-4899.0,-3329.0,18368.611,,459.931335,
2024-04-19_14:00-15:00,2024-04-19,14:00-15:00,2024,4,19,5,0,2,14,1,0,28279,,2366.588,,3727.872,,11473.13,,-4898.0,-3327.0,19245.122,,451.463409,
2024-04-19_15:00-16:00,2024-04-19,15:00-16:00,2024,4,19,5,0,2,15,1,0,29373,,2654.475,,2899.87,,13047.498,,-4912.0,-4048.0,20729.295,,459.64209,
2024-04-19_16:00-17:00,2024-04-19,16:00-17:00,2024,4,19,5,0,2,16,0,0,29679,,3003.718,,1823.309,,16092.499,,-6704.0,-6648.0,23422.652,,456.177002,
2024-04-19_17:00-18:00,2024-04-19,17:00-18:00,2024,4,19,5,0,2,17,0,0,29606,,3262.418,,650.757,,17957.5,,-7632.0,-7597.0,25048.069,,461.951843,
2024-04-19_18:00-19:00,2024-04-19,18:00-19:00,2024,4,19,5,0,2,18,0,0,30037,,3397.957,,10.66,,18295.199,,-7414.0,-7390.0,25313.639,,462.481232,
2024-04-19_19:00-20:00,2024-04-19,19:00-20:00,2024,4,19,5,0,2,19,0,0,29517,,3467.536,,0.0,,17674.344,,-7315.0,-7289.0,24764.974,,460.609711,
2024-04-19_20:00-21:00,2024-04-19,20:00-21:00,2024,4,19,5,0,2,20,0,0,28588,,3346.069,,0.0,,17538.499,,-7469.0,-6767.0,24592.379,,443.710693,
2024-04-19_21:00-22:00,2024-04-19,21:00-22:00,2024,4,19,5,0,2,21,0,0,27233,,3125.652,,0.0,,16427.921,,-7673.0,-6666.0,23355.481,,442.801361,
2024-04-19_22:00-23:00,2024-04-19,22:00-23:00,2024,4,19,5,0,2,22,0,1,27116,,2896.835,,0.0,,14931.905,,-6410.0,-5402.0,21722.045,,453.408691,
2024-04-19_23:00-24:00,2024-04-19,23:00-24:00,2024,4,19,5,0,2,23,0,1,26447,,2680.459,,0.0,,14969.896,,-6439.0,-5431.0,21707.696,,453.173737,
2024-04-20_00:00-01:00,2024-04-20,00:00-01:00,2024,4,20,6,1,2,0,0,1,24712,,2284.029,,0.0,,14701.137,,-6053.0,-5055.0,20499.247,,439.391266,
2024-04-20_01:00-02:00,2024-04-20,01:00-02:00,2024,4,20,6,1,2,1,0,1,23833,,2210.916,,0.0,,14175.242,,-6056.0,-4758.0,19906.802,,437.277832,
2024-04-20_02:00-03:00,2024-04-20,02:00-03:00,2024,4,20,6,1,2,2,0,1,23250,,2093.175,,0.0,,14094.997,,-6056.0,-4793.0,19790.257,,434.950226,
2024-04-20_03:00-04:00,2024-04-20,03:00-04:00,2024,4,20,6,1,2,3,0,1,23003,,2019.476,,0.0,,13910.998,,-6056.0,-4778.0,19556.698,,435.787598,
2024-04-20_04:00-05:00,2024-04-20,04:00-05:00,2024,4,20,6,1,2,4,0,1,23232,,1938.207,,0.0,,13961.997,,-6056.0,-4847.0,19602.027,,437.188843,
2024-04-20_05:00-06:00,2024-04-20,05:00-06:00,2024,4,20,6,1,2,5,0,1,24558,,1797.266,,102.057,,14541.7,,-6026.0,-4741.0,20327.897,,445.965912,
2024-04-20_06:00-07:00,2024-04-20,06:00-07:00,2024,4,20,6,1,2,6,0,1,26164,,1604.013,,1889.209,,16425.581,,-7296.0,-6118.0,22704.789,,436.36792,
